hours_studied,attendance_pct,sleep_hours,previous_score,practice_tests,extracurricular_hours,final_score
3.73,50.68,8.64,42.48,8,5.79,56.38
11.26,98.21,8.17,36.08,10,4.02,93.67
6.46,52.16,4.72,33.19,4,7.63,64.33
9.74,92.14,6.96,73.71,5,4.67,100.0
7.9,92.67,6.78,51.07,12,8.78,87.1
7.33,77.31,7.47,59.7,9,7.59,85.32
2.3,71.28,5.53,90.79,9,4.94,80.16
6.89,52.03,5.92,70.73,3,3.58,68.56
0.48,71.17,5.2,82.69,1,2.14,61.98
9.62,57.44,5.46,79.55,3,2.92,98.32
11.52,47.55,4.88,91.99,6,3.55,100.0
10.25,47.69,8.52,34.34,4,3.61,77.43
0.61,88.07,8.44,54.97,7,1.79,76.93
4.06,95.34,5.8,91.72,4,4.73,84.11
3.82,48.51,7.47,60.19,14,1.12,71.43
1.35,40.8,6.45,91.61,14,8.69,61.33
7.52,55.82,5.4,42.02,4,5.5,74.56
9.57,48.07,5.75,33.92,11,0.95,78.19
3.76,51.32,8.83,88.21,6,3.28,90.95
10.35,75.0,5.71,56.73,11,2.55,98.26
9.57,65.34,6.89,63.04,14,1.56,99.22
1.55,65.75,8.73,90.86,12,4.81,72.35
9.2,52.34,5.49,44.26,6,1.83,85.94
10.59,79.88,8.04,92.93,7,1.52,100.0
2.37,57.37,4.57,55.78,12,7.02,63.36
6.88,63.95,7.67,46.08,5,4.3,64.04
7.66,67.8,8.03,45.19,1,6.72,78.69
7.31,94.27,8.19,63.7,5,4.7,95.54
1.15,54.78,8.88,60.35,5,5.04,57.44
7.93,83.12,7.55,87.6,1,3.11,94.97
7.58,58.56,8.89,33.3,2,4.26,72.11
9.89,93.67,5.39,32.86,5,4.81,89.59
9.64,63.64,6.61,39.93,13,3.42,88.58
3.93,70.31,5.07,69.37,6,8.26,80.42
8.66,92.63,4.42,80.79,8,2.46,98.74
10.41,80.37,6.19,61.19,4,2.21,91.03
10.72,45.66,7.6,69.89,3,3.44,87.23
1.94,48.21,7.89,71.77,2,7.85,47.74
0.32,99.44,4.08,31.25,1,8.48,44.51
7.81,41.75,8.71,46.01,1,5.65,74.51
2.58,58.05,5.24,94.85,6,3.61,76.72
6.76,97.53,5.46,51.5,8,6.49,80.29
11.34,40.91,8.16,91.53,1,8.26,96.59
4.55,49.68,8.47,62.0,13,2.43,68.36
3.03,52.8,7.68,44.47,7,6.68,58.85
5.48,45.18,5.66,30.16,13,7.1,66.82
7.89,68.32,6.31,44.14,10,3.9,85.37
1.21,75.55,8.17,50.9,6,1.45,60.25
4.57,59.1,5.79,58.55,4,6.07,71.71
1.6,46.52,8.03,59.07,4,2.1,68.1
7.95,88.66,7.91,65.64,2,3.68,87.2
9.97,88.27,6.34,60.82,7,5.45,99.78
4.52,73.73,8.48,32.14,5,9.63,56.07
4.46,48.26,5.92,47.35,7,1.47,55.06
6.47,72.51,7.75,92.53,2,0.74,94.06
2.58,77.77,7.2,31.78,10,5.39,63.54
2.97,65.7,5.66,77.71,12,9.43,77.11
3.96,91.83,6.66,60.96,8,0.46,78.12
5.49,63.4,7.03,75.95,1,6.42,74.33
0.98,70.65,6.68,51.61,2,0.27,61.69
9.03,46.85,4.55,54.06,11,5.51,90.57
6.95,73.81,8.96,63.59,4,1.19,84.58
3.6,85.99,8.83,89.13,5,6.59,77.26
0.93,83.88,4.19,51.35,14,3.61,73.79
9.16,55.42,8.72,35.58,10,6.55,84.34
1.57,99.51,6.66,32.49,6,2.58,66.12
1.6,83.2,4.63,87.3,11,0.75,81.81
1.57,65.43,8.1,50.39,4,1.82,72.16
0.98,64.89,6.16,37.77,2,2.74,50.17
10.88,86.76,7.57,68.77,7,1.65,100.0
3.23,50.54,8.14,84.92,11,1.98,71.23
3.68,78.38,6.69,68.97,4,5.44,71.13
9.99,83.13,4.25,39.86,14,4.38,88.54
7.44,70.98,8.11,56.37,4,8.25,80.1
2.25,92.39,7.47,47.32,8,4.98,71.76
5.22,68.12,8.55,31.08,2,5.4,59.65
10.61,67.89,5.35,92.77,9,7.1,100.0
4.5,57.08,7.93,59.85,2,8.53,61.15
8.53,95.16,8.37,38.76,4,5.85,82.61
1.16,58.98,5.78,87.52,0,0.37,66.23
8.73,81.72,6.05,94.03,2,4.59,91.38
9.32,64.56,5.67,83.04,1,0.32,94.63
9.91,96.13,4.03,46.49,11,6.05,96.83
8.09,96.88,5.16,42.39,10,0.65,87.64
4.45,41.8,5.66,64.13,12,5.4,81.29
0.77,99.67,4.54,67.93,4,1.5,69.31
6.23,76.3,7.83,87.1,3,8.56,88.52
9.09,44.43,6.13,92.87,2,0.94,85.81
2.29,69.82,6.84,89.18,1,6.59,63.15
3.19,42.97,5.42,52.24,1,7.04,49.88
6.43,72.93,5.8,68.06,5,2.75,80.56
8.98,51.13,7.77,38.05,2,5.93,70.27
10.76,62.08,6.35,63.73,9,3.3,99.61
1.51,58.28,6.98,34.6,8,2.59,43.16
2.21,76.13,6.11,37.23,5,2.6,53.4
9.59,89.34,6.79,37.93,1,0.16,75.22
7.73,96.19,8.49,49.59,14,6.73,100.0
8.65,59.73,5.34,50.13,3,0.72,75.36
11.96,74.18,6.6,75.83,11,1.97,100.0
11.27,40.35,7.44,34.94,13,0.87,82.15
10.12,62.33,4.43,37.22,13,8.04,88.59
9.33,97.64,8.81,72.66,8,5.29,100.0
4.74,47.13,6.49,73.73,8,4.67,76.09
7.69,92.19,5.23,76.18,12,5.83,88.12
2.21,79.15,7.8,76.81,11,8.08,84.61
9.11,57.63,8.08,73.09,10,6.24,96.27
9.09,86.69,7.15,65.92,14,5.13,100.0
8.66,57.36,8.58,78.19,3,3.13,96.22
5.34,93.69,4.44,35.3,0,5.17,64.46
4.54,44.97,6.64,43.77,8,9.87,60.55
5.04,47.14,7.71,78.19,8,5.7,82.02
0.4,85.0,8.58,42.52,12,4.77,67.63
10.13,66.95,7.21,64.5,2,8.88,86.43
6.51,48.85,7.01,46.92,1,0.55,67.83
4.65,70.81,5.94,58.03,11,0.63,76.3
6.58,57.82,6.86,84.22,14,7.89,95.29
8.66,72.96,6.77,72.94,3,9.42,92.29
4.58,84.62,8.53,58.94,3,0.51,78.09
9.97,91.41,8.14,47.78,11,0.24,100.0
11.03,43.54,7.69,82.33,9,0.1,93.57
4.65,75.54,8.62,72.71,4,5.77,78.57
1.65,99.02,4.33,58.6,9,1.38,81.19
9.12,67.59,7.85,86.5,9,5.61,98.5
11.92,86.17,6.32,75.01,1,6.64,92.86
1.78,45.84,7.76,93.74,10,0.16,84.17
8.55,92.41,5.48,73.19,9,8.7,99.22
9.9,74.92,6.34,88.49,13,2.53,100.0
11.05,93.3,8.12,65.78,2,5.54,100.0
1.48,87.23,4.18,76.15,13,3.54,72.71
1.1,92.15,5.46,84.76,10,3.43,72.9
11.85,43.44,6.44,35.88,6,4.03,81.22
1.4,82.93,8.26,60.82,0,0.04,62.92
2.12,51.82,5.35,69.36,10,4.29,61.45
6.9,55.95,8.12,33.76,14,2.65,76.28
5.36,59.49,5.22,81.3,2,3.57,71.31
9.0,75.48,5.52,76.51,2,1.63,91.74
2.29,77.67,6.77,90.86,1,3.35,75.19
10.97,95.89,7.27,54.18,3,6.99,99.44
2.61,40.76,8.4,60.5,10,9.84,61.49
9.23,51.61,8.4,89.27,3,1.97,87.92
0.81,61.72,5.25,56.75,13,8.67,55.05
5.68,89.08,7.73,84.23,13,6.15,96.2
0.39,72.99,7.17,57.39,11,1.01,74.44
3.77,70.72,5.93,51.95,0,0.15,68.4
3.75,85.61,7.88,48.02,7,8.84,68.18
8.64,79.3,8.49,43.88,3,2.34,88.41
5.46,57.39,6.4,58.04,9,1.06,70.8
0.68,45.23,8.58,40.5,9,6.56,57.42
11.94,67.74,4.64,83.82,10,7.07,100.0
10.66,92.81,4.83,93.34,10,8.95,100.0
11.0,75.89,7.82,36.33,8,5.0,93.56
2.96,43.2,5.53,33.56,12,3.12,56.02
4.73,66.4,6.93,30.24,5,3.18,64.57
2.73,63.08,6.49,90.58,13,2.05,78.63
1.5,74.95,4.73,34.8,12,6.35,58.57
0.4,75.23,7.77,74.21,1,9.42,66.92
6.04,97.08,7.71,49.75,5,0.85,100.0
1.48,60.29,4.73,42.88,8,3.87,58.95
2.12,64.49,5.3,46.01,13,3.52,65.32
10.33,76.81,8.0,74.83,14,0.8,100.0
5.81,93.18,8.56,31.17,11,5.95,84.82
2.2,82.37,8.35,86.21,1,9.83,65.44
8.04,68.25,6.51,66.91,11,2.77,87.9
3.19,88.87,5.84,45.31,0,7.27,63.36
6.32,69.12,6.23,43.54,12,9.01,70.52
3.4,97.81,4.88,72.56,10,2.71,91.49
6.19,56.95,6.48,70.91,14,9.19,90.18
7.54,47.64,5.15,50.68,12,7.48,74.18
6.43,89.82,4.81,51.71,14,6.46,83.44
4.75,57.84,5.9,60.12,9,1.94,67.67
9.49,90.84,4.32,89.18,7,2.77,96.98
10.48,76.56,6.35,64.99,3,1.02,96.7
2.15,70.54,7.48,84.6,5,8.96,76.18
1.64,45.22,7.26,71.66,0,8.09,57.9
1.36,87.18,8.88,66.54,10,0.87,78.95
11.76,43.96,8.43,61.83,7,5.31,90.65
11.3,97.91,7.17,74.24,14,2.13,100.0
2.77,92.62,8.49,61.95,14,7.66,74.96
11.64,58.18,6.22,77.19,9,5.73,100.0
2.49,47.67,7.99,41.83,13,9.45,68.42
6.08,93.14,5.42,50.95,0,7.27,80.03
5.97,68.79,6.63,86.76,6,1.01,86.4
10.98,47.49,8.9,55.69,0,3.73,82.89
0.49,69.91,6.99,84.8,2,5.76,72.58
3.78,54.81,6.53,90.97,6,9.12,85.33
7.2,64.47,7.94,67.6,11,3.71,82.22
0.8,78.41,5.56,36.62,11,1.88,57.87
2.84,94.92,8.16,79.2,10,2.83,88.32
5.58,88.06,4.09,73.28,13,2.48,96.61
10.57,49.66,5.19,48.9,14,1.54,86.61
9.13,68.64,4.89,86.09,5,3.44,98.01
9.95,69.52,5.29,61.38,2,2.49,85.58
9.13,99.37,8.73,33.71,7,5.1,100.0
8.49,45.21,4.12,34.42,14,8.94,76.01
10.2,70.65,5.49,44.84,7,9.54,83.61
8.18,94.86,6.87,69.64,14,1.59,100.0
8.83,63.93,7.52,82.99,1,5.69,95.24
3.62,55.7,7.87,36.44,7,6.74,63.7
2.01,73.36,5.92,31.45,0,1.53,46.02
9.08,59.21,5.1,70.46,10,5.32,91.86
1.99,95.62,8.26,56.62,7,2.0,67.73
11.03,45.09,4.61,58.71,3,3.64,79.42
7.16,52.4,4.33,83.35,7,3.24,78.22
3.95,45.03,5.16,89.74,9,8.15,68.95
11.24,82.71,6.46,92.87,12,2.34,100.0
1.86,57.59,8.71,80.65,14,5.4,73.46
6.17,94.01,7.64,30.21,2,5.86,74.12
1.1,93.62,6.82,39.78,0,3.3,60.8
11.59,96.18,6.61,68.17,12,9.29,100.0
6.9,55.37,7.47,92.09,8,3.32,86.41
9.64,40.04,7.13,35.29,4,3.26,77.18
3.38,63.26,5.68,63.47,9,6.93,60.05
9.62,97.75,4.46,55.77,8,4.88,84.99
8.43,85.82,5.0,56.44,10,7.25,93.23
7.72,43.58,7.91,47.46,10,1.53,82.39
11.41,82.15,7.17,47.6,13,1.48,100.0
5.2,95.02,7.99,45.49,2,7.36,72.66
4.98,98.06,4.22,36.71,12,3.89,70.64
8.31,82.96,8.5,66.01,14,8.57,96.17
10.02,91.78,5.91,58.99,6,2.33,99.25
4.02,90.5,8.63,76.34,14,2.4,89.27
8.04,61.5,6.97,71.6,9,8.63,84.72
2.51,45.94,6.74,91.93,14,3.62,73.03
6.62,83.65,8.09,52.08,8,1.1,79.92
9.23,48.21,7.13,87.36,0,2.2,93.13
0.78,63.05,7.37,55.01,2,7.7,56.41
8.73,99.74,4.79,72.94,9,2.65,94.66
0.19,73.59,7.02,82.32,14,5.56,70.26
11.5,71.3,5.78,55.79,10,8.35,93.13
5.62,96.87,4.38,59.0,10,6.1,86.77
4.91,57.04,4.67,71.03,13,7.53,72.56
8.65,99.97,6.4,37.2,4,9.77,81.34
6.28,94.72,5.31,64.56,3,2.99,72.72
8.77,61.83,7.83,36.17,13,8.76,76.45
1.02,59.63,4.61,44.62,1,5.51,49.44
6.75,47.59,4.07,70.5,4,2.01,79.74
6.7,94.94,8.98,93.19,12,1.32,100.0
11.19,51.15,5.56,94.96,3,3.28,95.22
0.48,40.54,6.55,46.94,3,1.38,51.22
5.43,93.4,5.05,39.51,13,7.72,76.55
7.57,75.89,5.04,63.71,0,5.57,75.88
6.61,80.31,6.01,58.69,10,0.44,89.59
0.89,83.99,7.95,54.66,1,8.78,59.87
7.12,42.56,4.2,79.95,1,5.96,79.89
2.67,45.51,8.19,76.13,9,4.43,75.66
2.35,69.99,8.95,66.52,8,1.41,71.66
10.54,43.02,6.8,70.39,8,4.7,91.11
2.37,70.26,5.8,67.82,3,9.17,63.79
5.45,84.18,5.17,74.0,11,5.84,80.61
9.0,79.44,4.91,90.31,2,4.59,90.54
8.49,77.0,5.62,91.53,12,6.08,100.0
6.64,42.78,8.26,93.67,8,5.51,80.63
9.68,54.2,4.02,85.88,0,6.24,91.3
5.59,93.85,7.93,36.81,7,1.99,79.68
7.44,47.39,7.34,59.36,13,1.49,84.71
9.83,71.99,4.1,80.8,7,0.13,100.0
8.14,43.0,4.35,49.13,13,8.32,79.32
7.7,96.35,7.68,69.44,0,0.03,97.32
4.87,50.29,7.37,33.59,13,2.56,66.48
6.7,64.6,5.57,43.24,3,5.85,67.85
4.75,72.81,8.31,56.01,11,5.0,78.61
8.93,83.12,5.05,34.56,0,9.01,82.64
4.57,96.25,6.13,57.58,5,2.13,83.75
5.6,84.18,4.58,44.96,10,1.14,73.43
9.07,60.84,7.23,86.02,3,1.6,92.45
6.04,44.52,4.44,50.72,14,4.98,69.96
4.06,82.44,4.9,54.75,13,2.91,78.54
9.92,98.35,7.83,82.13,5,4.55,100.0
4.57,41.02,6.5,66.38,6,6.88,79.22
10.14,86.48,7.31,33.26,14,3.21,85.69
9.42,50.57,7.67,44.14,7,6.65,85.28
5.37,67.6,7.03,69.71,13,0.2,89.82
8.55,71.36,4.99,42.96,10,5.46,78.83
0.41,76.87,7.49,46.14,7,9.07,56.65
4.68,99.37,4.58,70.49,10,9.34,82.1
10.32,81.24,5.35,62.15,8,5.72,95.95
6.95,63.54,6.24,47.49,10,9.83,81.55
6.69,82.9,4.57,66.35,5,2.35,76.14
7.98,68.0,4.53,71.19,9,2.98,95.73
8.13,64.79,7.26,32.56,9,4.48,75.84
7.0,61.94,7.71,47.8,7,5.09,84.71
5.05,69.6,5.85,50.0,7,8.19,72.39
2.2,56.87,5.95,87.12,11,4.47,82.4
3.51,54.53,5.04,33.34,3,0.48,57.24
3.52,48.91,6.61,52.56,5,7.0,66.1
5.17,66.41,6.9,42.65,9,2.23,72.97
11.99,57.6,8.67,75.18,3,8.82,93.43
4.23,90.22,4.2,82.73,11,2.12,91.91
5.37,90.87,8.54,33.73,13,2.96,85.0
4.46,60.63,8.95,86.11,7,1.37,95.51
6.98,77.15,5.73,75.24,12,3.03,83.62
11.37,94.14,7.63,44.1,0,6.01,90.19
10.67,61.55,8.12,89.53,10,2.67,100.0
4.53,73.28,7.26,49.05,6,0.48,66.7
3.2,66.61,5.44,81.25,2,5.86,69.47
10.61,79.02,7.11,34.87,12,7.35,100.0
5.93,97.59,8.38,59.64,0,1.09,89.95
8.23,48.32,4.54,62.87,14,4.24,81.72
0.88,97.92,6.4,88.28,13,0.68,93.64
10.4,79.94,4.11,84.37,11,0.17,100.0
3.76,87.75,8.22,65.51,14,3.75,90.77
5.93,78.11,7.89,33.35,10,2.87,78.47
2.38,92.22,4.23,57.95,4,8.75,66.73
5.04,59.57,7.73,54.39,12,0.14,74.8
9.94,82.48,7.46,94.71,9,6.46,100.0
9.93,55.85,4.63,74.25,9,7.34,95.5
5.68,70.52,6.63,56.33,0,4.17,71.7
9.21,80.89,7.45,53.71,5,5.01,98.31
5.5,52.07,5.68,79.89,5,2.47,76.5
4.48,43.67,6.52,36.23,4,2.52,45.52
6.55,87.46,8.88,83.11,10,0.53,98.64
2.42,88.54,7.18,73.61,14,9.06,83.74
3.8,79.94,6.51,58.29,5,0.29,75.86
8.48,59.29,4.33,76.17,4,1.37,86.62
9.25,79.49,4.61,55.86,12,7.24,87.71
0.68,45.03,8.25,39.31,5,4.58,56.28
8.79,79.75,7.71,57.1,13,5.12,92.73
9.81,74.57,8.18,33.34,11,2.94,92.83
5.34,77.03,6.89,35.66,2,1.61,65.99
0.75,66.82,6.88,58.54,5,7.99,52.33
8.19,53.51,6.65,83.63,10,1.24,100.0
2.95,83.55,7.68,43.24,0,2.96,50.03
7.72,67.85,5.65,62.55,5,7.52,76.87
4.52,84.72,6.48,93.63,2,2.98,88.19
7.65,61.85,6.35,83.78,2,9.51,82.32
3.1,45.27,7.31,88.63,12,1.75,84.01
5.72,72.55,5.08,73.87,5,5.28,79.64
6.3,77.37,4.13,68.29,11,5.38,83.28
7.57,95.31,4.44,67.82,7,5.0,100.0
2.44,93.27,4.9,69.08,13,7.74,78.06
11.54,43.43,8.29,60.22,13,0.46,98.6
3.47,86.31,7.58,53.44,11,5.46,71.91
3.67,55.68,7.75,45.51,11,7.9,63.01
3.08,81.83,6.22,34.24,1,0.51,62.96
0.81,62.77,4.51,53.99,0,5.46,52.67
5.08,59.32,6.33,80.04,13,4.41,85.88
9.26,69.3,8.31,65.92,0,4.05,83.95
8.51,71.83,6.55,40.66,0,5.38,77.81
