cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength
348.7,103.87,55.87,166.0,22.38,1132.13,604.96,1,40.93
436.6,92.55,38.59,136.09,15.5,1114.29,908.26,7,49.37
379.28,210.36,75.72,144.2,29.4,939.64,657.15,28,54.21
343.57,147.18,77.03,163.13,25.82,954.81,626.65,90,62.37
346.05,78.57,67.8,129.13,3.33,929.41,966.9,90,48.35
233.74,292.96,65.58,127.4,4.29,813.06,977.34,180,44.76
113.56,308.94,17.95,239.08,2.23,901.03,837.74,1,2.0
292.16,60.2,5.04,160.57,15.78,842.32,742.21,28,40.42
194.42,2.7,40.42,247.69,2.58,835.32,924.96,90,15.06
279.75,120.67,151.33,245.37,23.16,993.5,672.3,365,61.01
475.5,286.31,198.16,138.53,17.68,834.07,762.62,3,54.72
202.93,301.26,185.71,212.94,26.75,835.51,733.52,180,48.03
125.65,49.66,100.84,198.1,8.95,965.78,956.91,1,2.0
223.81,277.99,106.36,209.78,16.61,952.59,959.75,3,30.68
229.18,41.54,62.92,132.5,3.76,847.48,851.66,180,38.59
391.24,140.03,154.79,144.51,28.31,801.53,634.52,180,63.22
345.09,358.5,152.95,129.96,5.6,866.58,783.84,365,60.51
444.92,69.14,168.85,198.54,3.28,881.38,688.62,56,56.62
392.3,55.27,179.1,248.26,6.56,1076.09,945.74,56,49.54
278.81,151.79,86.87,207.36,25.8,1115.83,645.64,28,43.51
458.17,222.46,153.38,212.4,3.39,940.05,611.83,28,56.7
173.47,334.91,161.28,248.0,19.66,939.73,873.18,28,29.72
109.99,352.11,61.69,208.14,23.88,1045.81,772.22,7,7.44
139.62,25.0,185.85,125.22,24.03,1016.29,927.02,180,40.38
417.84,49.54,18.87,232.71,6.08,863.53,620.0,14,41.01
303.23,283.87,198.85,167.41,1.97,837.15,912.03,56,42.17
170.96,97.16,154.02,120.57,14.36,950.98,605.01,90,39.3
320.46,317.66,18.65,185.94,6.48,994.87,601.28,28,43.96
167.02,238.18,131.25,241.81,22.38,847.85,775.45,56,21.62
406.38,40.15,6.84,153.45,11.41,901.18,678.96,1,34.12
296.31,298.88,154.04,183.9,14.38,905.55,828.67,7,38.55
267.65,63.31,159.84,142.59,3.63,890.15,600.38,28,40.49
232.67,152.03,120.48,127.5,18.16,958.96,604.23,14,31.93
377.32,198.23,171.37,130.47,5.94,1025.31,882.31,365,61.33
259.2,179.78,19.58,214.51,21.73,975.74,674.49,365,50.04
138.57,246.33,55.18,232.33,2.28,869.5,853.88,90,17.38
151.92,234.31,82.84,138.63,31.23,835.51,891.47,14,35.02
523.23,356.14,8.49,157.48,21.9,1083.55,613.85,1,61.61
499.78,358.79,89.64,145.35,5.82,965.36,899.44,90,68.3
407.87,185.41,53.04,123.49,0.45,821.44,697.91,180,55.46
216.98,34.18,78.55,191.95,10.7,889.05,746.6,28,29.25
526.44,261.3,85.02,210.99,4.89,1077.39,624.83,180,64.46
442.65,350.62,175.88,204.22,6.99,1059.35,927.13,365,71.21
415.43,114.28,54.07,170.45,27.93,1102.16,815.41,28,53.21
297.72,165.57,178.75,192.15,19.3,1007.72,792.88,3,32.75
219.79,152.49,85.19,132.23,5.65,945.9,979.36,1,22.5
142.41,18.46,65.56,140.06,17.81,947.19,724.47,90,35.88
497.15,241.34,100.5,241.13,8.18,866.93,948.09,56,49.48
300.54,126.85,83.55,219.0,31.24,1024.53,879.31,3,43.8
189.04,282.7,51.47,239.96,1.05,1001.85,963.27,1,4.87
234.62,298.73,100.54,239.17,23.43,853.43,954.94,365,43.69
354.86,294.82,30.36,204.42,24.74,1105.55,988.39,7,35.11
177.78,149.58,70.39,240.67,2.15,927.12,642.93,7,2.1
476.91,115.43,113.16,174.17,5.5,817.16,910.0,56,55.82
433.75,268.83,82.68,120.47,12.3,913.12,913.41,14,54.34
416.56,287.7,164.78,128.13,27.78,1100.1,849.04,365,80.92
290.12,176.36,51.34,134.23,17.18,1116.35,702.1,90,49.95
376.02,320.6,193.95,132.4,20.97,969.19,977.99,14,52.55
357.0,51.66,156.94,165.72,25.06,1129.94,672.18,7,45.01
385.93,315.59,193.52,211.17,26.5,1101.96,790.83,180,68.87
137.16,34.5,167.63,222.78,15.24,1084.7,799.64,56,17.02
282.96,55.12,28.42,196.73,16.28,1096.6,655.06,365,47.68
118.31,191.65,105.29,139.04,22.98,931.75,880.46,14,27.05
317.36,24.24,34.0,217.23,8.43,1060.98,625.72,1,19.95
245.14,18.96,163.65,166.12,27.34,999.18,868.63,365,52.47
163.59,0.19,116.83,121.69,0.67,1048.29,931.14,7,14.44
145.5,156.64,52.69,156.48,6.26,861.34,730.46,180,33.84
358.56,278.09,185.92,162.98,25.61,1052.33,875.19,90,63.81
175.06,12.51,23.04,155.65,10.89,1130.37,653.02,7,15.5
507.05,234.16,112.77,225.54,4.79,904.42,930.07,90,64.02
355.67,295.5,144.21,218.79,5.98,1140.23,972.72,1,40.36
252.62,60.31,11.77,210.42,16.98,930.54,651.38,14,31.49
360.0,52.72,119.57,138.07,27.08,868.9,868.13,14,56.99
110.03,309.03,163.18,225.02,2.26,838.74,793.34,56,9.27
521.77,295.5,13.51,208.03,0.98,1070.81,803.66,28,51.74
312.21,193.48,102.45,145.33,14.89,991.41,874.01,56,51.03
444.4,294.09,51.71,204.25,30.6,905.96,786.47,28,58.91
136.4,33.3,132.58,182.86,8.93,1009.92,831.33,90,19.54
314.13,141.62,23.74,177.12,30.69,914.57,682.82,3,38.96
315.91,264.87,187.41,134.58,28.41,954.68,742.16,90,62.11
512.64,92.43,178.95,187.38,9.06,1097.62,937.83,1,40.41
351.56,270.09,37.19,132.99,26.14,1030.52,634.18,1,43.12
308.34,181.0,64.65,141.35,21.95,1063.03,830.23,90,58.04
217.47,269.35,117.53,137.23,16.38,1001.31,664.08,3,31.13
245.89,166.82,143.61,244.03,13.53,1142.03,930.31,90,31.03
329.1,132.08,88.53,157.03,26.1,883.29,822.78,3,39.52
293.12,78.69,31.26,166.18,25.38,890.49,752.03,3,30.37
109.51,74.81,20.83,161.87,24.22,831.93,690.43,365,30.87
463.57,269.79,199.95,236.77,31.94,991.14,765.61,3,58.59
494.31,42.69,91.07,193.19,15.31,1011.61,974.96,365,69.79
161.71,30.87,174.51,239.49,25.82,1050.46,794.7,14,15.81
343.78,63.29,96.48,158.99,27.6,915.73,778.73,180,63.15
147.77,62.95,184.47,134.93,6.77,804.23,890.0,365,34.91
395.79,295.5,17.55,192.31,1.35,1018.12,742.38,3,31.28
223.74,143.06,22.8,164.92,12.95,1144.55,761.82,7,30.61
390.15,355.55,185.93,224.25,27.42,901.62,725.45,56,67.06
419.88,49.26,189.5,234.33,9.25,863.46,650.67,180,60.17
438.2,234.62,62.94,181.43,22.4,897.21,876.95,3,47.16
147.41,161.09,71.03,246.28,0.24,946.77,940.96,3,2.0
503.05,141.06,90.49,191.89,11.37,886.56,954.05,14,51.47
201.29,314.16,83.23,155.22,19.7,919.7,944.08,3,32.57
116.46,350.24,38.01,183.57,4.15,1020.18,771.62,7,2.89
344.14,313.36,179.68,124.85,28.69,919.03,704.19,3,51.02
263.21,69.04,50.66,224.52,5.0,936.64,846.45,180,28.36
465.11,79.27,141.05,133.19,29.11,813.81,973.79,180,72.9
455.63,235.53,13.43,160.14,6.92,1116.69,882.27,3,43.7
239.54,103.78,7.75,193.49,31.82,940.38,788.93,28,40.32
519.28,263.77,130.75,125.59,19.35,913.21,866.9,56,77.88
228.0,203.35,67.8,130.31,2.7,829.84,900.56,56,33.11
326.63,197.78,131.09,210.5,2.09,1018.79,959.55,365,49.3
212.62,297.45,18.8,129.33,2.4,1098.02,896.81,56,33.55
511.86,255.08,189.97,182.02,18.88,814.2,764.14,90,68.73
172.43,9.54,149.7,164.03,25.91,850.12,699.99,1,23.44
119.76,17.76,175.25,149.65,12.89,850.5,790.95,1,10.4
291.44,215.96,27.29,144.54,14.23,1007.78,721.93,56,45.37
536.65,174.54,64.03,219.24,18.86,1117.82,968.99,365,71.85
492.34,93.41,73.67,243.7,17.06,951.03,794.2,14,47.59
429.39,150.3,107.43,138.22,22.02,918.61,779.77,56,68.25
491.95,272.09,59.37,244.76,15.1,1064.22,729.97,3,52.4
493.12,296.75,12.13,197.32,22.84,1056.19,847.04,28,63.07
328.3,201.48,73.78,203.42,31.91,885.13,799.06,90,53.73
239.01,138.35,50.91,212.29,11.21,855.49,641.88,56,29.51
439.69,97.18,77.18,211.54,0.39,923.44,939.42,3,35.47
391.13,187.37,39.39,226.58,4.02,1067.58,734.32,180,54.46
264.41,113.0,52.38,182.85,17.71,1039.8,763.9,365,43.86
141.57,202.51,125.39,189.34,11.02,1029.72,672.68,28,18.03
428.59,242.92,77.63,162.1,30.08,1086.15,812.47,14,67.08
215.48,23.72,69.08,133.68,20.08,895.61,872.23,28,36.96
512.2,0.38,106.78,206.4,16.65,917.19,944.23,180,72.0
206.03,76.21,154.37,124.37,25.54,814.61,610.75,28,45.3
154.01,321.13,75.77,155.83,8.27,1099.72,981.28,1,9.06
465.69,232.02,117.5,132.25,26.23,1000.94,872.93,1,51.75
167.45,61.73,193.24,144.79,0.1,902.85,704.29,180,31.57
178.88,319.6,104.4,203.04,19.83,823.95,672.2,180,37.19
363.73,168.71,181.96,201.7,29.91,1049.58,709.03,90,58.65
484.81,170.92,158.73,174.74,25.21,1058.31,942.04,3,60.82
186.43,335.86,11.74,131.72,27.32,1029.83,707.14,3,29.7
236.54,21.36,85.82,176.34,12.7,870.3,776.05,14,34.02
442.06,77.25,139.66,165.86,26.38,1115.06,873.71,7,52.29
527.6,210.29,197.34,213.66,17.63,1059.84,940.54,14,60.34
320.33,70.18,91.68,195.27,19.79,1026.93,854.75,56,50.56
163.31,243.95,18.56,183.9,1.89,1024.58,892.75,7,10.56
106.13,76.86,112.4,183.31,6.45,1112.0,659.68,3,2.0
201.05,35.6,25.31,245.62,17.63,1120.27,942.72,14,11.89
158.0,74.31,150.3,218.32,1.88,1005.49,700.84,90,20.05
398.17,151.76,101.54,184.61,23.73,943.75,641.61,56,49.39
153.61,63.23,144.69,182.3,26.88,925.49,982.45,7,21.08
322.79,48.35,173.87,123.44,29.45,1082.58,671.06,7,52.22
405.48,308.84,125.79,242.53,3.26,1022.39,644.93,56,52.73
355.69,115.02,122.49,161.49,30.07,826.66,841.66,3,41.39
187.9,129.51,150.91,153.27,2.16,849.05,718.18,180,31.27
453.81,19.84,168.49,249.92,15.17,1110.56,643.61,180,57.69
414.78,128.3,173.81,213.43,26.89,1105.15,831.65,1,45.35
425.15,95.07,7.29,126.16,2.25,1128.38,895.11,365,51.97
157.67,219.16,111.24,128.05,0.58,947.61,908.87,1,12.19
154.45,73.74,43.25,123.32,0.8,1070.5,652.52,28,23.13
508.13,318.92,172.07,197.95,16.36,1085.74,813.86,90,68.72
274.93,333.75,129.68,129.3,25.97,908.92,917.1,7,49.82
232.42,35.84,84.04,241.34,4.08,850.14,654.76,3,13.86
314.98,38.56,37.62,241.8,3.99,1143.97,673.49,1,16.6
391.66,41.4,67.8,190.99,18.19,810.43,590.97,90,47.54
520.47,222.43,140.76,200.16,7.5,1006.08,800.9,1,45.24
226.04,43.79,40.87,157.95,23.37,1024.32,668.26,28,34.65
506.92,306.01,18.72,128.32,30.39,1035.22,881.15,14,65.64
110.94,270.78,177.61,215.87,24.51,888.19,976.81,365,28.95
344.29,294.31,152.84,133.23,28.07,1048.94,673.92,365,78.59
378.95,188.86,39.96,131.12,16.63,874.66,850.94,180,62.45
146.59,357.81,58.46,160.46,26.63,1086.02,675.16,90,42.29
161.75,15.86,194.41,121.62,5.85,875.6,597.24,28,21.08
284.41,144.05,141.64,176.42,2.19,1040.36,894.94,14,33.86
525.14,116.29,122.1,212.0,20.99,1070.28,764.47,3,52.15
362.26,340.56,61.53,224.18,1.66,865.19,970.61,365,60.54
510.53,207.09,59.83,198.56,28.56,882.11,804.78,14,61.0
453.92,289.42,7.9,230.09,22.13,1068.79,653.31,14,54.37
305.65,61.15,145.7,172.85,30.47,829.67,770.81,3,45.31
445.3,351.33,8.64,230.34,10.04,865.81,671.56,7,46.35
107.85,179.01,0.97,185.84,15.56,957.16,942.97,56,8.62
148.02,177.23,145.9,148.99,23.73,1120.91,867.74,14,39.36
464.95,348.55,189.77,242.74,7.77,993.85,727.18,56,54.73
450.6,136.68,151.3,155.75,17.34,933.75,802.18,3,48.22
202.36,142.71,94.33,123.41,21.1,1137.54,859.13,1,28.61
333.54,209.93,97.21,151.55,31.32,959.98,904.71,180,67.64
366.65,45.97,87.23,167.67,23.83,949.64,622.22,14,47.94
481.81,115.27,64.93,165.68,3.78,942.02,599.05,14,47.59
365.37,69.36,104.34,188.21,15.21,907.7,636.01,7,39.81
281.53,37.08,86.23,234.81,18.84,912.36,748.79,56,36.01
264.64,310.95,119.63,158.0,4.69,1037.3,777.62,56,51.79
287.39,211.57,179.62,187.7,13.82,814.09,644.86,14,39.24
386.85,128.76,199.0,164.22,9.09,1035.23,755.28,365,64.79
481.7,146.71,15.75,226.83,3.8,869.42,767.53,365,60.32
299.71,154.92,76.94,140.49,16.39,932.55,633.85,3,35.07
209.05,227.3,36.14,133.46,5.3,850.56,958.5,56,34.86
204.13,332.71,70.42,185.39,18.9,990.7,830.86,365,43.54
428.25,334.87,57.49,207.35,5.43,1051.63,746.19,28,50.34
459.29,140.55,34.91,223.42,23.16,922.36,793.78,1,42.28
146.32,118.21,152.82,196.65,6.25,856.38,716.31,3,10.57
129.29,161.93,99.26,220.6,28.68,878.14,933.44,90,19.82
361.55,203.89,183.85,171.05,0.84,1082.25,821.16,365,54.88
164.32,165.79,6.52,124.27,16.7,892.34,788.95,3,19.01
462.85,236.49,13.4,135.09,10.24,1067.27,956.18,28,62.28
236.55,199.03,80.65,125.03,7.2,914.26,926.87,28,34.59
163.3,115.14,16.06,162.76,15.09,865.11,916.75,7,21.78
505.23,124.12,52.55,184.41,26.94,1050.92,680.69,56,71.33
172.83,135.91,197.21,166.32,29.29,961.65,651.56,180,45.99
225.28,33.98,41.79,192.88,9.7,810.79,867.42,7,16.31
167.59,59.62,39.62,182.48,4.94,1131.18,778.39,1,2.0
150.82,259.6,114.73,208.13,23.04,850.97,864.85,14,26.11
109.31,139.69,99.6,206.71,18.62,921.93,895.77,7,2.0
124.37,77.02,116.09,161.35,6.43,932.75,708.72,90,21.52
176.84,202.0,75.35,165.01,24.33,968.85,704.43,28,35.69
123.49,271.24,165.35,196.07,16.61,1070.98,787.31,1,6.22
360.1,92.41,27.72,197.54,20.91,802.1,699.97,14,46.98
399.51,296.82,85.68,160.91,11.5,1121.7,858.25,90,55.71
273.2,332.97,137.95,162.94,14.05,1022.87,890.19,28,41.79
239.92,214.46,173.65,210.23,5.77,1127.97,779.76,56,38.52
321.99,240.15,73.91,204.16,24.21,1082.0,880.97,7,40.92
485.0,18.87,113.55,137.56,5.02,1120.1,795.2,7,34.99
474.5,339.44,13.83,177.34,24.91,1007.35,876.57,3,57.6
119.13,140.9,34.06,236.05,25.54,923.27,680.44,1,2.0
179.86,331.68,13.83,124.72,23.89,952.81,887.01,1,30.14
204.17,207.85,145.58,231.17,0.62,1027.02,877.48,56,31.02
209.73,1.66,57.61,141.21,8.74,947.29,697.18,3,20.34
351.34,13.84,144.75,185.94,14.99,1052.43,813.5,56,52.88
283.16,244.27,13.28,175.16,19.06,831.69,933.84,365,57.94
121.67,202.0,172.51,121.32,29.42,1086.35,690.31,90,46.99
264.39,9.53,167.11,239.0,12.02,870.45,885.86,56,31.14
330.45,266.9,17.79,179.14,28.0,1125.66,973.49,3,43.84
144.74,305.92,4.75,244.05,5.23,853.66,938.23,28,12.57
466.72,178.21,11.26,157.28,11.88,844.56,751.41,365,67.36
122.86,167.21,170.73,232.62,1.67,1080.1,834.1,14,3.78
506.93,1.96,46.94,239.91,23.76,1082.45,988.69,180,65.3
143.61,282.41,109.65,192.39,4.82,1054.87,818.51,90,31.64
471.17,118.73,85.25,146.35,8.22,1131.38,636.24,7,56.35
497.17,315.48,159.11,209.08,24.81,893.34,608.26,3,58.09
531.01,133.93,97.78,191.37,17.11,1085.19,907.71,1,50.37
452.89,202.86,100.13,242.79,0.45,921.45,760.3,7,45.13
442.97,97.05,197.82,177.11,0.07,985.4,689.22,7,36.96
382.69,57.65,30.03,154.91,16.34,953.73,729.76,56,47.69
442.76,278.19,166.14,137.98,9.76,802.02,894.46,56,66.3
159.2,178.28,10.35,210.82,5.77,998.19,777.03,28,16.81
335.87,192.6,95.53,246.63,19.64,1057.89,939.14,90,50.54
326.26,346.58,177.27,123.68,7.31,860.22,885.44,90,56.21
477.33,345.93,133.04,216.26,18.95,1121.42,981.55,90,58.59
303.63,307.18,137.04,240.5,12.14,982.99,947.18,365,53.88
269.44,67.35,52.66,129.72,5.98,861.49,692.33,14,30.84
381.41,213.34,83.71,134.32,4.42,1022.85,854.94,180,61.33
217.24,315.25,73.32,209.95,7.58,866.21,598.26,14,31.33
161.5,134.43,104.29,204.24,0.95,821.92,988.42,3,7.56
310.27,36.3,92.45,128.95,9.86,1036.43,694.92,3,34.31
283.43,291.14,65.38,228.47,28.86,838.19,857.25,1,28.18
202.33,172.95,61.1,188.05,26.6,836.65,931.36,365,52.09
261.71,202.62,50.17,237.94,11.9,1055.28,654.51,3,26.42
261.21,352.59,73.01,234.14,18.43,819.04,930.85,180,54.77
244.1,217.99,29.99,225.63,18.16,1079.37,594.92,180,53.29
266.96,152.57,174.42,187.07,26.52,1074.67,767.67,14,36.37
401.73,132.82,120.42,152.72,7.56,848.78,779.76,365,60.69
230.63,149.93,26.76,185.78,9.48,978.84,740.38,365,41.26
517.5,42.51,138.77,133.11,9.66,833.34,825.73,365,71.28
503.19,285.32,169.53,205.65,1.31,1018.24,957.77,28,55.3
311.6,300.74,47.51,137.42,10.07,821.71,721.45,7,39.54
244.48,102.1,30.12,186.45,28.09,1125.85,822.86,1,32.31
335.59,109.06,1.72,127.07,29.18,871.67,942.74,180,59.27
473.37,313.89,9.45,158.94,3.51,1035.6,900.74,180,59.32
387.14,8.61,152.45,150.17,14.66,844.26,606.37,28,46.06
453.93,186.84,197.44,200.6,12.2,872.31,969.0,1,40.95
334.4,166.46,8.98,222.28,15.66,955.58,608.75,180,47.47
378.48,247.76,149.61,127.45,17.75,997.72,826.68,7,50.36
226.79,58.66,14.37,230.54,0.65,1144.61,821.29,28,20.03
423.35,239.93,118.43,231.9,26.95,808.94,906.13,56,59.45
189.06,135.25,151.22,164.49,31.16,800.11,649.67,3,33.97
405.71,222.12,71.84,205.67,20.91,920.88,662.11,1,41.38
478.72,14.39,2.19,172.34,21.13,926.32,892.35,1,47.73
158.13,165.76,119.04,140.04,16.9,1104.92,650.1,365,43.27
370.33,187.49,198.25,188.73,10.7,1114.84,778.72,365,61.66
141.84,76.94,51.52,131.23,4.77,1103.78,884.12,14,15.28
419.31,50.12,37.9,234.2,18.69,849.4,851.8,14,46.32
137.18,67.66,24.79,240.16,1.44,942.18,674.66,14,2.0
511.81,123.55,111.05,226.81,26.38,1057.33,712.19,14,58.51
160.46,34.75,119.29,193.13,13.47,907.85,979.53,28,22.88
521.91,340.09,158.45,192.49,13.27,1028.82,770.37,14,57.43
452.39,145.39,150.61,248.0,10.47,881.81,607.87,56,57.57
361.22,290.42,178.51,152.23,31.02,911.58,678.27,14,56.65
444.35,349.82,161.15,129.87,5.6,1096.85,727.66,56,64.43
449.85,28.98,49.45,193.05,4.84,886.43,991.79,365,59.66
516.25,233.95,111.18,162.74,5.3,1132.69,711.68,3,54.1
211.49,312.84,59.48,161.9,21.07,905.66,600.61,1,22.86
359.63,227.69,65.96,120.92,31.74,808.12,796.19,28,55.4
141.82,154.02,186.39,197.51,7.54,887.94,623.61,3,4.06
371.11,154.76,136.38,154.32,28.98,859.07,700.18,7,46.58
175.37,12.89,194.92,144.42,8.92,974.86,988.94,180,31.28
348.58,191.92,83.38,125.26,20.73,838.89,873.26,14,53.47
351.87,356.68,107.49,167.37,1.3,1015.99,610.37,28,46.05
305.03,344.18,97.42,234.27,15.86,1101.84,770.37,90,48.33
329.96,14.5,21.46,163.77,20.95,925.07,659.0,3,34.69
436.13,253.38,47.34,208.28,17.16,858.13,639.42,28,53.24
451.67,108.33,105.53,218.35,7.61,938.01,826.0,1,42.8
316.55,324.17,13.47,162.65,26.51,1071.16,793.27,28,50.97
363.82,16.2,186.29,226.81,31.04,1004.06,888.63,7,41.29
509.74,335.98,24.77,209.94,14.69,834.89,948.71,365,76.93
152.68,300.65,39.6,192.7,20.35,985.33,689.17,7,19.47
151.53,42.18,153.06,120.13,25.29,961.49,961.04,3,33.35
138.59,21.48,19.39,124.56,7.73,912.85,798.23,1,5.59
389.46,299.66,180.06,248.81,27.66,838.01,694.05,3,51.48
284.19,55.92,145.14,221.7,8.97,1138.48,930.01,3,29.07
440.7,192.03,13.72,241.88,24.83,860.73,604.28,7,48.03
395.34,328.75,138.37,237.3,3.59,866.5,814.92,90,49.77
246.8,203.71,126.33,122.66,9.23,850.23,880.09,180,53.18
495.28,142.61,151.47,222.94,17.08,996.72,702.55,180,70.19
435.51,159.76,165.64,178.65,16.8,953.07,937.12,365,63.7
219.04,22.66,143.67,222.64,27.21,886.1,686.59,365,42.93
260.24,347.78,117.24,120.87,31.88,948.15,927.63,28,46.37
238.35,111.52,64.49,157.47,3.43,1032.37,621.58,14,30.73
169.35,67.98,139.45,217.67,8.68,897.19,654.29,56,20.57
165.02,102.69,191.39,223.09,11.44,1115.76,743.16,7,12.43
511.9,346.21,117.5,200.56,15.33,905.69,933.33,56,60.12
292.68,33.85,132.87,159.16,15.81,868.37,648.12,365,50.91
268.66,311.36,87.43,160.35,27.4,1129.33,941.93,3,39.1
421.06,254.12,151.22,245.68,24.66,1079.64,682.35,90,61.03
343.32,297.98,199.53,177.1,0.6,918.38,771.91,365,57.8
511.9,350.35,32.08,178.13,14.56,1090.29,731.8,28,65.13
443.33,302.33,40.48,191.8,19.78,978.99,637.49,14,64.89
310.92,338.67,107.89,173.24,14.73,919.63,969.61,7,42.03
265.6,45.57,96.28,191.85,4.18,1089.67,766.15,3,26.0
534.12,285.69,114.31,176.2,12.72,1059.5,867.51,7,53.64
415.81,195.9,9.81,227.47,13.17,902.77,821.26,90,48.43
518.53,195.11,80.86,238.18,6.01,1009.3,791.69,28,52.88
152.13,322.71,116.6,241.17,24.2,927.44,837.86,3,7.51
474.23,348.88,117.04,193.36,10.28,800.36,951.13,28,58.7
380.31,253.04,131.47,177.48,18.85,1131.83,871.12,180,60.91
153.65,173.37,144.04,211.68,16.5,989.62,804.06,1,2.0
358.83,163.85,128.31,228.98,28.08,1006.46,849.36,1,46.62
401.88,138.7,158.05,193.19,3.9,1006.96,833.77,365,56.95
105.41,129.81,124.95,211.0,3.66,989.97,764.11,90,2.0
299.9,140.55,107.5,217.46,9.61,900.07,841.16,56,45.03
463.18,32.22,121.24,207.93,13.8,1135.19,768.32,365,62.46
229.96,27.8,20.24,217.0,9.55,1014.48,894.56,56,33.99
301.76,279.97,54.63,147.12,24.42,1031.47,979.5,28,49.38
294.62,160.14,105.48,184.79,7.85,956.9,975.87,3,27.14
232.85,334.12,174.6,196.47,2.71,899.31,919.94,180,43.96
504.11,219.79,135.81,120.32,13.24,822.2,831.91,90,70.93
443.77,12.63,18.08,231.28,24.75,920.83,891.23,7,50.35
